run;layer;nce_loss;KNN acc@1;Clf acc@1;Hoyer;Zero %;Ortho mean;MIG
TestP0;Backbone;0.4731;0.5267;0.5471;0.4393;0.2491;0.3488;0.0013
TestP0;Head;0.4731;0.506;0.4984;0.6397;0.6893;0.1755;0.0102
TestP1;Backbone;0.5034;0.5145;0.5263;0.4647;0.2814;0.3244;0.0081
TestP1;Proj 0;0.5034;0.5102;0.5031;0.4823;0.5543;0.3197;0.0036
TestP1;Head;0.5034;0.4895;0.465;0.6418;0.6991;0.1748;0.0122
